Date,Open,High,Low,Close,Adj Close,Volume
2019-07-26,63.709999,63.709999,63.299999,63.439999,59.692276,990300
2019-07-29,64.220001,64.220001,63.709999,63.790001,60.021603,1119700
2019-07-30,63.980000,64.230003,63.619999,64.190002,60.397980,969500
2019-07-31,63.740002,64.040001,63.020000,63.470001,59.720509,1836900
2019-08-01,60.000000,60.610001,59.400002,59.540001,56.022671,3799800
2019-08-02,59.349998,59.490002,58.520000,58.970001,55.486347,2458200
2019-08-05,58.000000,58.139999,57.209999,57.400002,54.009094,3098900
2019-08-06,57.500000,57.669998,56.930000,57.529999,54.131416,2771200
2019-08-07,57.000000,57.430000,56.590000,57.220001,53.839725,2880900
2019-08-08,57.099998,57.790001,56.930000,57.770000,54.357239,2428900
2019-08-09,56.810001,57.599998,56.599998,57.349998,53.962048,4026200
2019-08-12,57.570000,57.650002,57.299999,57.419998,54.027912,935700
2019-08-13,57.180000,58.299999,57.049999,58.099998,54.667736,1939900
2019-08-14,56.639999,56.939999,56.349998,56.599998,53.256351,2885900
2019-08-15,55.020000,55.380001,54.779999,55.099998,52.720535,6341100
2019-08-16,55.279999,55.700001,55.110001,55.560001,53.160675,2173300
2019-08-19,56.560001,56.560001,56.169998,56.330002,53.897423,2009000
2019-08-20,55.709999,55.980000,55.400002,55.740002,53.332897,1976600
2019-08-21,56.639999,56.639999,56.230000,56.419998,53.983528,1341000
2019-08-22,56.310001,56.419998,55.860001,56.119999,53.696484,1567400
2019-08-23,55.849998,56.320000,55.169998,55.270000,52.883194,1967100
2019-08-26,55.900002,55.980000,55.470001,55.570000,53.170238,1136700
2019-08-27,56.020000,56.090000,55.220001,55.369999,52.978878,1367200
2019-08-28,55.720001,56.230000,55.459999,56.009998,53.591236,1502000
2019-08-29,56.369999,56.529999,56.040001,56.049999,53.629509,1504000
2019-08-30,56.099998,56.110001,55.430000,55.759998,53.352032,2307200
2019-09-03,54.910000,55.430000,54.639999,55.419998,53.026714,2363700
2019-09-04,55.860001,56.130001,55.750000,56.000000,53.581669,1136700
2019-09-05,56.330002,56.630001,55.970001,56.029999,53.610374,1594100
2019-09-06,55.799999,56.029999,55.540001,55.810001,53.399876,1554500
2019-09-09,56.180000,56.480000,56.060001,56.369999,53.935692,1856700
2019-09-10,57.270000,57.799999,56.980000,57.110001,54.643738,1730400
2019-09-11,57.169998,57.389999,56.610001,56.730000,54.280144,1827700
2019-09-12,56.450001,56.889999,56.150002,56.750000,54.299282,1320300
2019-09-13,57.389999,57.459999,57.000000,57.200001,54.729851,1293500
2019-09-16,58.849998,58.889999,58.000000,58.340000,55.820618,3002200
2019-09-17,58.860001,58.900002,57.730000,58.389999,55.868458,2508800
2019-09-18,58.459999,58.799999,58.340000,58.560001,56.031116,1740300
2019-09-19,59.099998,59.230000,58.709999,58.709999,56.174641,1350500
2019-09-20,58.880001,58.970001,58.570000,58.700001,56.165073,1392600
2019-09-23,58.750000,59.090000,58.650002,58.880001,56.337299,1337000
2019-09-24,58.509998,58.520000,58.040001,58.290001,55.772781,3166000
2019-09-25,58.000000,58.139999,57.770000,58.000000,55.495296,1722700
2019-09-26,58.500000,58.959999,58.419998,58.919998,56.375565,2090700
2019-09-27,59.169998,59.709999,59.040001,59.700001,57.121887,2876600
2019-09-30,59.230000,59.930000,59.169998,59.900002,57.313248,4420000
2019-10-01,59.430000,59.549999,59.049999,59.299999,56.739159,4943800
2019-10-02,57.549999,57.639999,56.820000,57.110001,54.643738,5015200
2019-10-03,56.900002,57.490002,56.570000,57.480000,54.997757,3190700
2019-10-04,57.529999,57.770000,57.290001,57.720001,55.227390,1481300
2019-10-07,57.900002,58.150002,57.619999,57.639999,55.150845,1359100
2019-10-08,57.360001,57.480000,56.869999,56.889999,54.433231,1629200
2019-10-09,57.230000,57.310001,56.910000,56.990002,54.528919,1463600
2019-10-10,57.500000,57.849998,57.360001,57.759998,55.265663,1592100
2019-10-11,58.259998,58.660000,58.220001,58.290001,55.772781,1685600
2019-10-14,58.020000,58.419998,57.950001,58.279999,55.763206,875100
2019-10-15,58.160000,58.480000,57.869999,58.080002,55.571850,1668300
2019-10-16,58.110001,58.299999,57.810001,57.860001,55.361347,1397600
2019-10-17,58.630001,58.779999,58.410000,58.619999,56.088524,1212700
2019-10-18,58.500000,58.599998,58.060001,58.119999,55.610119,1186000
2019-10-21,58.419998,58.860001,58.380001,58.770000,56.232048,885800
2019-10-22,59.240002,59.900002,59.040001,59.419998,56.853977,1163500
2019-10-23,59.750000,60.410000,59.650002,60.400002,57.791660,3345700
2019-10-24,60.720001,60.759998,59.959999,60.110001,57.514179,750000
2019-10-25,59.950001,60.570000,59.930000,60.459999,57.849068,1568800
2019-10-28,60.860001,60.959999,60.580002,60.689999,58.069130,1248900
2019-10-29,60.220001,61.000000,60.119999,60.709999,58.088268,1546600
2019-10-30,60.689999,60.740002,60.310001,60.639999,58.021294,1168800
2019-10-31,58.730000,58.910000,57.939999,58.290001,55.772781,3103700
2019-11-01,58.680000,59.369999,58.560001,59.150002,56.595638,1752300
2019-11-04,60.279999,60.459999,60.090000,60.130001,57.533321,1264600
2019-11-05,60.790001,60.820000,60.369999,60.700001,58.078705,1262900
2019-11-06,60.779999,61.080002,60.330002,60.480000,57.868202,1620400
2019-11-07,60.860001,60.959999,60.509998,60.860001,58.231792,1151800
2019-11-08,60.630001,60.740002,60.410000,60.680000,58.059566,1373100
2019-11-11,60.259998,60.860001,60.150002,60.700001,58.078705,1056800
2019-11-12,60.830002,60.919998,60.419998,60.450001,57.839500,1194300
2019-11-13,60.400002,60.830002,60.299999,60.779999,58.155247,1530000
2019-11-14,59.980000,60.160000,59.490002,59.639999,57.960876,1184900
2019-11-15,59.669998,60.150002,59.669998,59.970001,58.281590,1137100
2019-11-18,59.849998,59.970001,59.619999,59.709999,58.028908,1296100
2019-11-19,60.110001,60.110001,58.869999,58.939999,57.280586,2863200
2019-11-20,58.660000,59.119999,58.459999,58.650002,56.998753,2082800
2019-11-21,58.910000,59.139999,58.619999,59.119999,57.455517,1797200
2019-11-22,59.389999,59.480000,58.910000,58.950001,57.290306,1176200
2019-11-25,59.439999,59.439999,58.970001,59.139999,57.474957,1302500
2019-11-26,58.770000,58.770000,58.080002,58.220001,56.580860,1620100
2019-11-27,58.230000,58.250000,57.830002,58.110001,56.473957,1212700
2019-11-29,57.740002,57.810001,57.439999,57.610001,55.988033,807000
2019-12-02,58.000000,58.040001,57.310001,57.400002,55.783947,1547500
2019-12-03,56.590000,56.700001,56.209999,56.439999,54.850971,1980100
2019-12-04,56.939999,57.119999,56.820000,56.910000,55.307739,1495500
2019-12-05,56.959999,57.090000,56.490002,56.549999,54.957874,1520200
2019-12-06,57.259998,57.680000,57.189999,57.389999,55.774227,1814800
2019-12-09,57.340000,57.630001,57.169998,57.299999,55.686760,1523600
2019-12-10,57.540001,57.590000,57.240002,57.340000,55.725632,1417500
2019-12-11,57.250000,57.500000,57.080002,57.310001,55.696480,2268900
2019-12-12,57.330002,57.889999,57.250000,57.599998,55.978313,3528100
2019-12-13,57.930000,58.150002,57.279999,57.410000,55.793663,2302400
