Date,Open,High,Low,Close,Adj Close,Volume
2019-07-26,58.900002,59.360001,58.439999,58.750000,56.747009,6704100
2019-07-29,58.689999,58.810001,57.480000,58.189999,56.206100,6597500
2019-07-30,57.099998,59.860001,57.020000,59.509998,57.481098,5927800
2019-07-31,59.480000,59.740002,58.380001,59.080002,57.065765,8268500
2019-08-01,58.080002,60.279999,57.889999,58.799999,56.795303,7924200
2019-08-02,58.939999,59.310001,56.320000,56.470001,54.544743,7697700
2019-08-05,55.549999,55.709999,54.230000,54.680000,52.815769,7474600
2019-08-06,55.020000,55.029999,53.919998,54.230000,52.381111,6166900
2019-08-07,53.279999,53.720001,52.299999,53.320000,51.502140,9289600
2019-08-08,53.779999,55.090000,53.299999,55.070000,53.192474,7444800
2019-08-09,54.959999,55.470001,53.980000,54.009998,52.168613,5391700
2019-08-12,53.790001,53.930000,52.849998,53.119999,51.308956,4317900
2019-08-13,52.840000,54.830002,52.439999,53.869999,52.033382,6461800
2019-08-14,52.459999,52.860001,51.509998,51.779999,50.014641,7851800
2019-08-15,51.400002,52.009998,50.590000,50.910000,49.174305,6069800
2019-08-16,51.049999,51.799999,50.799999,51.470001,49.715210,5273200
2019-08-19,52.570000,54.299999,52.459999,53.939999,52.100998,9315400
2019-08-20,53.509998,53.599998,52.650002,52.709999,50.912933,5297700
2019-08-21,53.330002,53.669998,52.389999,52.630001,50.835659,6044600
2019-08-22,52.910000,53.349998,52.230000,52.259998,50.478271,4316200
2019-08-23,51.650002,52.189999,50.130001,50.419998,48.701004,7133400
2019-08-26,51.049999,51.709999,50.689999,51.369999,49.618618,4989100
2019-08-27,51.730000,51.849998,50.520000,50.980000,49.241913,5342100
2019-08-28,51.410000,52.240002,51.250000,51.950001,50.178844,4880300
2019-08-29,52.310001,52.950001,52.209999,52.290001,50.507252,6401900
2019-08-30,52.360001,52.939999,51.619999,52.180000,50.401005,5131500
2019-09-03,51.049999,52.119999,50.740002,52.040001,50.265774,5142300
2019-09-04,52.790001,53.480000,52.599998,53.299999,51.482819,5803100
2019-09-05,53.590000,54.240002,53.290001,53.439999,51.618038,6014500
2019-09-06,53.080002,53.790001,52.680000,53.630001,51.801567,4635000
2019-09-09,54.200001,55.049999,53.869999,54.970001,53.095882,6176800
2019-09-10,55.540001,57.490002,55.389999,56.320000,54.399853,8567700
2019-09-11,56.730000,57.480000,56.290001,57.200001,55.249851,7940300
2019-09-12,55.990002,56.970001,55.580002,56.349998,54.428833,5712300
2019-09-13,56.980000,57.700001,56.869999,57.340000,55.385078,7885300
2019-09-16,61.450001,63.150002,60.509998,62.529999,60.398136,17898000
2019-09-17,62.470001,63.220001,60.200001,61.220001,59.132801,13487100
2019-09-18,60.000000,60.369999,59.270000,60.009998,57.964050,7412500
2019-09-19,60.480000,60.689999,59.750000,59.970001,57.925415,6270700
2019-09-20,60.250000,61.220001,60.130001,60.820000,58.746437,18124800
2019-09-23,60.000000,60.669998,59.860001,60.180000,58.128254,6729300
2019-09-24,59.990002,60.060001,58.349998,59.299999,57.278259,9370200
2019-09-25,58.459999,59.500000,58.299999,59.480000,57.452122,5788200
2019-09-26,59.060001,59.130001,57.290001,57.680000,55.713490,6655400
2019-09-27,57.060001,58.340000,56.959999,57.900002,55.925987,4329300
2019-09-30,57.570000,57.910000,56.689999,56.980000,55.037354,5923700
2019-10-01,57.500000,57.700001,55.029999,55.150002,53.269745,6329000
2019-10-02,54.790001,55.040001,53.000000,53.070000,51.260658,6135600
2019-10-03,52.790001,53.810001,52.299999,53.660000,51.830544,4238200
2019-10-04,53.529999,53.990002,52.700001,53.500000,51.676003,5148300
2019-10-07,54.150002,55.630001,53.799999,54.599998,52.738495,8158600
2019-10-08,53.900002,55.380001,53.730000,53.900002,52.062366,6968700
2019-10-09,54.590000,55.349998,54.290001,54.939999,53.066902,5632100
2019-10-10,55.000000,56.009998,55.000000,55.880001,53.974857,5426500
2019-10-11,56.480000,56.990002,56.200001,56.430000,54.506107,6810600
2019-10-14,55.830002,56.450001,55.639999,56.130001,54.216335,4402900
2019-10-15,55.790001,56.490002,55.410000,55.950001,54.042469,6226000
2019-10-16,55.430000,55.740002,54.560001,54.610001,53.147118,5190700
2019-10-17,54.759998,54.860001,53.980000,54.529999,53.069260,4364300
2019-10-18,54.660000,54.880001,53.950001,53.950001,52.504799,5160400
2019-10-21,54.250000,56.110001,54.080002,55.959999,54.460953,6734100
2019-10-22,55.939999,57.650002,55.930000,56.540001,55.025417,6187300
2019-10-23,56.619999,56.820000,55.570000,56.250000,54.743183,5252400
2019-10-24,56.570000,56.900002,55.730000,56.160000,54.655598,4552100
2019-10-25,56.090000,56.700001,55.590000,56.349998,54.840508,3046000
2019-10-28,56.480000,56.950001,54.860001,55.680000,54.188454,7574300
2019-10-29,55.799999,57.970001,54.389999,57.090000,55.560684,8699100
2019-10-30,57.439999,57.459999,54.950001,55.040001,53.565601,7907800
2019-10-31,54.869999,55.200001,54.130001,55.200001,53.721313,6346400
2019-11-01,55.650002,57.490002,55.470001,57.150002,55.619080,6483600
2019-11-04,57.759998,58.570000,57.209999,58.000000,56.446304,5667900
2019-11-05,58.619999,59.330002,58.360001,58.509998,56.942642,7545200
2019-11-06,58.250000,59.080002,57.349998,57.630001,56.086216,5464900
2019-11-07,58.299999,59.630001,58.299999,59.540001,57.945057,9492200
2019-11-08,58.889999,59.299999,57.919998,59.160000,57.575233,4769000
2019-11-11,58.660000,59.240002,58.299999,58.910000,57.331932,3716200
2019-11-12,58.980000,59.450001,57.939999,58.230000,56.670147,4939900
2019-11-13,57.840000,58.020000,57.220001,57.560001,56.018093,4644200
2019-11-14,57.759998,58.049999,56.959999,57.250000,55.716396,3971200
2019-11-15,57.560001,58.290001,57.549999,58.250000,56.689610,4261900
2019-11-18,57.700001,57.779999,56.389999,56.700001,55.181129,5793300
2019-11-19,56.830002,57.529999,56.299999,57.169998,55.638538,6588000
2019-11-20,57.099998,59.549999,56.919998,59.360001,57.769875,10097500
2019-11-21,59.549999,60.549999,59.400002,60.209999,58.597103,10527300
2019-11-22,60.490002,61.389999,59.639999,59.900002,58.295410,6575300
